chn,name,label,mass
1,ArAr80,80ArAr,80ArAr
2,Y89,89Y,89Y
3,Ru96,96Ru,96Ru
4,Ru98,98Ru,98Ru
5,Ru99,99Ru,99Ru
6,Ru100,100Ru,100Ru
7,Ru101,101Ru,101Ru
8,Ru102,102Ru,102Ru
9,Ru104,104Ru,104Ru
10,I127,127I,127I
11,Xe131,131Xe,131Xe
12,Ba138,138Ba,138Ba
13,Pr141,141Pr_aSMA,141Pr_aSMA
14,Nd142,142Nd_Keratin5_6,142Nd_Keratin5_6
15,Nd143,143Nd_p53,143Nd_p53
16,Nd144,144Nd_VWF,144Nd_VWF
17,Nd145,145Nd_PR,145Nd_PR
18,Nd146,146Nd_FoxA1,146Nd_FoxA1
19,Sm147,147Sm_CD163,147Sm_CD163
20,Nd148,148Nd_panKeratin,148Nd_panKeratin
21,Sm149,149Sm_Stathmin,149Sm_Stathmin
22,Nd150,150Nd_PDL1,150Nd_PDL1
23,Eu151,151Eu_CD31,151Eu_CD31
24,Sm152,152Sm_Nestin,152Sm_Nestin
25,Eu153,153Eu_CD44,153Eu_CD44
26,Sm154,154Sm_INA,154Sm_INA
27,Gd155,155Gd_FoxP3,155Gd_FoxP3
28,Gd156,156Gd_CD4,156Gd_CD4
29,Gd158,158Gd_NCam,158Gd_NCam
30,Tb159,159Tb_CD68,159Tb_CD68
31,Gd160,160Gd_PDGFRa,160Gd_PDGFRa
32,Dy161,161Dy_CD20,161Dy_CD20
33,Dy162,162Dy_CD8,162Dy_CD8
34,Dy163,163Dy_ER,163Dy_ER
35,Dy164,164Dy_Keratin14,164Dy_Keratin14
36,Ho165,165Ho_PD1,165Ho_PD1
37,Er166,166Er_Her2,166Er_Her2
38,Er167,167Er_GATA3,167Er_GATA3
39,Er168,168Er_Ki67,168Er_Ki67
40,Tm169,169Tm_PDPN,169Tm_PDPN
41,Er170,170Er_CD3,170Er_CD3
42,Yb171,171Yb_PDGFRb,171Yb_PDGFRb
43,Yb172,172Yb_CTLA4,172Yb_CTLA4
44,Yb173,173Yb_DCX,173Yb_DCX
45,Yb174,174Yb_Keratin8_18,174Yb_Keratin8_18
46,Lu175,175Lu_Neurofil,175Lu_Neurofil
47,Yb176,176Yb_H3,176Yb_H3
48,Ir191,191Ir,191Ir
49,Ir193,193Ir,193Ir
50,Pb208,208Pb,208Pb
