Names,Labels,Chn_no
Ba138,138Ba,0
Pb208,208Pb,1
Nd146,CD16,2
Nd150,PD-L1,3
Nd144,CD14,4
Sm154,CD11c,5
Sm152,CD45,6
Sm149,CD11b,7
Gd158,E-Cadherin,8
Gd156,CD4,9
Dy162,CD8,10
Er170,CD3,11
Yb176,His-H3,12
Yb174,HLA-DR,13
I127,127I,14
Ir191,191Ir,15
Eu153,CD44,16
Lu175,Pan-Actin,17
Ho165,p-CREB,18
Ir193,193Ir,19
Nd142,CD19,20
Nd145,CD33,21
Gd155,FoxP3,22
Er166,CD45RA,23
Yb173,CD45RO,24
Tm169,Collagen I,25
Eu151,CD31,26
Nd148,Pan-Keratin,27
Dy164,Cytokeratin 7,28
Er168,Ki-67,29
Yb171,p-ERK,30
Sm147,SOX9,31
Nd143,Vimentin,32
